delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1,delta_2,gamma_2,eps_2,r_2,x0_infect_2,beta0_2,beta1_2,beta2_2,beta3_2,beta4_2,beta5_2,beta6_2,delta_3,gamma_3,eps_3,r_3,x0_infect_3,beta0_3,beta1_3,beta2_3,beta3_3,beta4_3,beta5_3,beta6_3
0.9551365776463691,0.0278454034209354,0.42801400006378093,0.04031990002929679,0.0001541523910143415,0.007685490147850103,0.022104765854997918,0.02790129236497339,0.023663046980726493,0.03386419925474371,0.004570445630144052,0.022742726932544723,0.6281665825071754,0.24697425738905268,0.45142535674127804,0.04872160460741134,8.079484859351116e-05,0.027847706169223354,0.03439057729210506,0.04185906738138644,0.009561236942908091,0.03953239788782964,0.04367235287930375,0.0510213077567491,0.8659271215514064,0.05367122130277626,0.8703707234353196,0.04014401855930802,0.00024230980100945016,0.057269645475912574,0.018710563848113017,0.045185036145351284,0.048701822399989984,0.036794541494669514,0.04118024566607875,0.020145205207409887,0.9150656509678762,0.07288412407084176,0.49696871283587085,0.20581292785083233,0.000187781733584626,0.012285471638578922,0.016376606909552314,0.03520374176645376,0.035703404822520816,0.06151135765468411,0.03302614023311979,0.0016602066384203723
0.4239507615136944,0.13180560277100337,0.26426849202661157,0.723184156778645,0.00015168225634952038,0.009110854287292957,0.04150486483776279,0.009201062185468078,0.010493404460569197,0.019444971767579176,0.03534949469263781,0.025476412099115792,0.19504381863536174,0.4421058899423618,0.6175683749330894,0.08777262850417512,9.33751301960383e-05,0.06017471691851855,0.01509771818471408,0.017567199700978378,0.012527256698351526,0.008925239980334572,0.04570613351192812,0.021006370111763383,0.2248472215440496,0.5203353573071245,0.3725804512168444,0.5842449078709055,1.7116548536431484e-05,0.06435628231083314,0.0648751105291699,0.016946143247124117,0.030094273965030293,0.029488994419963138,0.0015587989818280714,0.03355177247507439,0.6370111164217285,0.20991962235638625,0.8508744394571234,0.02256552487748024,0.00017123975533230859,0.00840543712406036,0.035703890329782446,0.029003570841541478,0.049226543978705704,0.059340735859629755,0.05462858753686089,0.03128718682683191
0.5709863906711106,0.30515427614557217,0.6423075892950071,0.06895036844977624,0.0001296021244387378,0.06585643655769612,0.017038470429546395,0.03517449736575055,0.05885239031159079,0.03135946558307689,0.028412504246057162,0.02431489574538034,0.18345554333461098,0.38160512029205446,0.8130349878571805,0.01054693399531518,9.77546729433138e-05,0.03701301976201839,0.031259873692323165,0.013859592248712535,0.040765472907198286,0.02566809507958544,0.008246122322139721,0.058573835411794235,0.01800337955507909,0.8355974467895402,0.8260787113792031,0.16153209021144024,0.0001604792880150514,0.042880384389620246,0.04641817460303042,0.005961795273320139,0.04696353738983561,0.062321751855448124,0.016310102912366113,0.031132969063350033,0.7000908145601789,0.14605066670651295,0.6742849400565571,0.04277969229543127,0.0002724908209448015,0.051704257140034314,0.0017524411381459755,9.272242345409507e-05,0.01181417210457234,0.028158197107541524,0.062166326082470434,0.0006239917096369455
0.9965777628723526,0.0005328118151400577,0.3305054494621061,0.35582764866859173,0.00016126773079847405,0.066673662007182,0.040098231071252224,0.06667063887423569,0.061414201105539225,0.06157106375688976,0.03185384004580604,0.0329046434213501,0.2474809164372268,0.2893987128996035,0.14724842065185065,0.2073384968186849,2.4916208660252034e-05,0.008643676535380203,0.01751239103054471,0.012878311884724608,0.03472078161492942,0.0363432497848651,0.02853061095757981,0.032791791413993895,0.18990079687339617,0.658496600666088,0.9823404676909695,0.006595920972547665,2.730590341973365e-05,0.03411775358207465,0.01663520734311617,0.003618853256079067,0.037252399487294065,0.056704247521500425,0.014783980618099397,0.02946185916759393,0.007416519329144572,0.1778391911228817,0.8922310149713536,0.07851514705528702,0.00015290243558961842,0.040259063563360134,0.03418404153562211,0.02810272731365542,0.05520837608479671,0.005404042481268942,0.06652821365854372,0.0402940699696518
0.3707605572795724,0.5370624367036757,0.10518843696027,0.47366520290168035,0.00016785005078352557,0.044831886624478456,0.04481395594421194,0.021362452932708734,0.05818000490708989,0.04037196575642709,0.03081440697324734,0.041451606553767104,0.40224176844683696,0.47764474154357184,0.5739326245602684,0.263184895908691,0.00027118393216061083,0.04259973320243303,0.0356171724809375,0.023785090615604597,0.0020501179684061983,0.043605825948302875,0.062351205507867775,0.018396604350079865,0.9652064509541006,0.019910442609586076,0.5713093911455495,0.41986733439811263,0.00018839708345367142,0.04215768657660243,0.03102623880847779,0.047057515991409955,0.011330906034761966,0.06027011727961683,0.023224261698693783,0.00701974025894282,0.10781366473668451,0.2669198062305451,0.051055870034395816,0.40691875038355213,6.391290077595625e-05,0.06554151090719319,0.06068401969283051,0.053315762385547145,0.05169084611471849,0.02880967000535563,0.025058355008900746,0.04698367464388188
0.15926240989840473,0.10208217791862642,0.08907210329750474,0.0770484306540261,1.969466229732328e-07,0.032091767477204186,0.010646937791674135,0.03881017896413812,0.0019808201923914035,0.048042695768754765,0.0012085377054802098,0.04422696795321483,0.6552340796875389,0.2866707342153975,0.6701412201032123,0.22713763910164422,0.0002802389973494948,0.012978250498104934,0.0006022395490559389,0.06382770730654268,0.026715673592176675,0.059901741320462304,0.06500937624885253,0.0596091338016854,0.9253632330306334,0.07321265566829913,0.42166293901207863,0.3153536715140258,8.47474865644726e-05,0.05574572012646675,0.05909976791767753,0.027009910053396837,0.03102579187977874,0.039608156020868125,0.03259516945605974,0.007801821749484281,0.7735235335876461,0.18156117207846142,0.36771155081879475,0.27224030303975183,0.00010570161551883608,0.03898421208466226,0.03919563045016262,0.021527420831972538,0.036891885050584494,0.04375034821228258,0.043696292337905944,0.029991201449194215
0.7377035566673634,0.158312912539759,0.7094939010752278,0.2886459224459606,0.0001156728340886007,0.05195472218364094,0.018324321035902348,0.06004939470118197,0.02623453042380763,0.06301256809502535,0.029288777229613688,0.02610427833211785,0.2147161700879292,0.1466810322421245,0.7601377634951669,0.18022319594237612,0.00012107757567541064,0.03481255764283692,0.003062996144368903,0.04847256770444412,0.046416969907687976,0.0010108000182974528,0.0007142465137445455,0.06635430940379991,0.7930114069666189,0.018105086875374213,0.38384904485098265,0.45610877144912537,0.0002777969634872991,0.02556673555580204,0.01596524797722944,0.04403725394617524,0.02981686103103495,0.030515655056882505,0.0425340444155243,0.03710831632169537,0.6558961979643864,0.24636726040878185,0.6896554990699671,0.008288780131024368,0.00027480804094005894,0.02779192875312074,0.05580812843449004,0.06279148758635453,0.05898918058641514,0.035990198347573374,0.009466364657704597,0.05412619670551783
0.7112592447454359,0.12253213564974107,0.024317028259825,0.11166210618993302,6.586292136923536e-05,0.03311115563738146,0.0026578228867451216,0.0556700795425001,0.01104757746976034,0.04205360648897805,0.02543021843551397,0.047607619272325104,0.4143819165857264,0.029651052595225758,0.08686249057211623,0.5246031746047979,7.497696782942066e-05,0.04076470694185082,0.05310428766841898,0.0027818297092805557,0.06333696912113,0.02447957604449341,0.025972670051062775,0.025043647156110592,0.9562045372891319,0.0013115020447014686,0.5205630436536952,0.23152027462110333,2.2368168359134756e-05,0.0396892732140403,0.06590862582554552,0.01192759291460489,0.01022368721863792,0.00918049680786786,0.030903942762975062,0.023297823856560318,0.44447029036311125,0.5542909659009041,0.28073290673849155,0.26301820854780045,4.932693765701126e-05,0.030680038090984078,0.045150632701077234,0.044471008703854176,0.0075856370460412855,0.0003234308124808117,0.007240777567196488,0.007546583244481593
0.9009746537856109,0.08610080037106341,0.9503469531602922,0.04361966407583313,0.0002747091572860278,0.0587254086526947,0.031636987328101315,0.016570473152542724,0.062118647799602904,0.02217386625972036,0.038718367033958624,0.02881267897908958,0.8716723856108648,0.11763154840401797,0.33215876480012557,0.12593732838723934,6.922224035591373e-05,0.056478882807147364,0.04203326976039146,0.010909965210961844,0.04055552609095654,0.04163615899317211,0.019874434220835124,0.01754213015417632,0.1274645035959721,0.014446616634091426,0.3448798221782911,0.6428887713597229,0.0001857099237517941,0.006851289181840423,0.01810141622139107,0.03361905191895267,0.056513572671502775,0.012141730547915227,0.0476130054677594,0.05570033568830494,0.4058020398272485,0.4708278566757335,0.8029079639661106,0.08748539664136311,4.755482520025895e-05,0.025678822280269974,0.03153644789345701,0.04775735813580392,0.023973792812449133,0.010923472941424225,0.04080856976494738,0.017261206882134165
0.6477754891108609,0.03451372821354631,0.37240850563923505,0.18371822413198097,0.0002359401441590046,0.0033933227233381466,0.013864502494869617,0.003730703759159879,0.03874457400650135,0.0004925573446373325,0.01674620717495085,0.030705775698116517,0.5438697685481803,0.06668597964565236,0.7300423932546541,0.1412393404044146,3.977678908417643e-05,0.05218907109437274,0.024868638469404392,0.05423220393697602,0.06598707873786572,0.054035951653855954,0.00907820209163808,0.06341058117678082,0.5272678889718229,0.4470099228208372,0.5088372334833126,0.16985024379997246,5.500914951652447e-06,0.03614667388614831,0.056096540142510705,0.022672339788696674,0.06571055100652064,0.06345038065024479,0.04017093077582653,0.04626880085381247,0.45580591114590346,0.5208223789052868,0.9861304772826682,0.0038956186961224978,0.00015027145680954147,0.0228653304688115,0.03261839802899178,0.04538196807286615,0.008422099911997074,0.05568570642020754,0.021202606056035047,0.032631060082715484
0.39928004654192034,0.28214503157438237,0.6091848294942164,0.35600093056091414,0.0001902739672894148,0.011862109335758332,0.05503844400802926,0.004095202785109167,0.04657874242210082,0.061160186761061996,0.04651314410686863,0.061741103380161304,0.6734497004506723,0.13850373909274832,0.10582013358657172,0.5018480663875791,3.368023467244727e-06,0.061211270977534725,0.005499762723688329,0.054924308678168686,0.03824584033443139,0.05893552002309446,0.0573863702732762,0.022775980089602067,0.9173058536072206,0.0711410804396897,0.5893860652361577,0.2893189064970573,0.00011339567188096746,0.05884344369280079,0.02969503233792361,0.0005905500873671538,0.04876966895997905,0.01514604086825639,0.012611550479618346,0.022238526446503416,0.18167460011510392,0.05611573959859292,0.13315686781121622,0.04586307841315693,0.0001660196634262592,0.05303892695724525,0.012986576053240887,0.056452126681561195,0.0027377533190148283,0.018676118234770837,0.06286597567944038,0.020729845447360278
0.5488523230051738,0.04853444734998492,0.7856224859002626,0.026737175011201576,0.00026167416169743234,0.010161940911771902,0.02821931599903833,0.012772092625974413,0.006745835226627028,0.05834603262432171,0.003721118017661578,0.06287603723935045,0.029269985516058934,0.037737324815715345,0.9714858472308795,0.005814003084435023,0.0002660206674996581,0.0632220553871919,0.044930940865661136,0.030973951205834883,0.03015754395196013,0.06297899027322643,0.0041023701584697895,0.003951494724897583,0.5792965855078982,0.09599866587816776,0.6461919511283298,0.11862689366034415,0.00016639309950130862,0.0059764023345482255,0.027671792167899157,0.006334562804189841,0.03352937044316007,0.02668254684571458,0.010772227272346405,0.053815109288730976,0.8322017570107714,0.031319019504770736,0.5097050723148105,0.3039324095107596,6.668193109043198e-05,0.03839840575497063,0.022405267937786365,0.026660238948847708,0.03429695982201435,0.006268714629289236,0.014330900527104493,0.01912305144696416
0.7780259635003861,0.21643495803147997,0.1942452819175924,0.3385394885299568,0.00022966936084018586,0.014648911309227594,0.04790158737566855,0.04582298676414837,0.04518383424579257,0.021176320448493168,0.05190117735809675,0.00577585893058121,0.7601539206592023,0.20943841777959915,0.6698666374619576,0.012571292862790712,0.00022131097178447828,0.02489282946267102,0.015721632000635494,0.03370393290104131,0.0036575652454295055,0.01647849002843827,0.015853436818339145,0.00860323577492681,0.21989856078946132,0.35679197025760345,0.4932828903731311,0.4635491194125099,6.765932217371934e-05,0.04604487554483196,0.022087701251146466,0.05629615461888501,0.029364493361494753,0.01735443901554086,0.0513701275022529,0.03981217497816388,0.6125072284213171,0.07601885280168,0.20452011095770448,0.6851728309976476,0.00028308351037263424,0.015880620928170153,0.059995360757800924,0.02069485389088429,0.05220313226345218,0.06503235716002052,0.059582500925395056,0.041016013212492576
0.2551093336955802,0.5457446264788558,0.32108760335542047,0.44156865308312954,0.0002817831447492224,0.030957126440283048,0.006787351184887188,0.03981283731417358,0.02961015895678649,0.03513075940290081,0.06132400739889709,0.050594388684827414,0.8262686412826118,0.08962617778822893,0.5562481101865646,0.21133557938211428,0.00019560448889868458,0.05461600903457857,0.06589070947056183,0.06614091781876871,0.06133399090378952,0.06566495964271238,0.03588118288496249,0.011640077616420141,0.38901588362797984,0.4336077137741096,0.18998678532263177,0.37702689203973266,3.552146132036865e-05,0.02825021712032396,0.02680460279256531,0.0373530738149605,0.06233641497207302,0.03771903344737689,0.056726632412770796,0.01707995098965261,0.30557010712973526,0.5367472866254825,0.7898487298432492,0.014992354824164665,0.00021532518253327738,0.04822998097554111,0.061790143731264964,0.06418409772194027,0.0011494065011479718,0.010242881484108514,0.04237954486465388,0.02702141081233198
